name,place_id,lat,lon,rating,price_level,types,formatted_address,business_status,website,international_phone_number,reviews_count
Steam Boat Restaurant - Moratuwa,ChIJr13NNwRF4joRzgbn1a8G6w4,6.7787283,79.8823286,4.1,2,"restaurant, food, point_of_interest, establishment","QVHJ+FWW, A2, Moratuwa 10400, Sri Lanka",OPERATIONAL,https://www.steamboat.lk/,+94 112 806 806,1071
Las Brisas Lake Resort,ChIJM-S6sJpF4joRDYGmJC4AGlo,6.7630728,79.9074804,3.3,2,"restaurant, lodging, food, point_of_interest, establishment","No: 201/1, Galkanuwa Road, Panadura 12500, Sri Lanka",OPERATIONAL,N/A,N/A,19
God's Little Acre,ChIJD6IysAxF4joRbREeLsWPNos,6.7792429,79.8915437,4.0,2,"restaurant, lodging, food, point_of_interest, establishment","Moratuwa 10400, Sri Lanka",OPERATIONAL,N/A,+94 112 653 262,142
Randiya Hotels,ChIJW7xYhcBF4joRD7GpM5CJg1o,6.7504265,79.8930147,4.0,2,"lodging, restaurant, food, point_of_interest, establishment","No.389 Koralawella Rd, Moratuwa 10400, Sri Lanka",OPERATIONAL,https://m.facebook.com/randiyahotels/,+94 112 658 442,1799
Raashi Lake Resort,ChIJ21QMgJhF4joRc5MzgOokqOs,6.764447199999999,79.89695549999999,3.3,2,"lodging, restaurant, food, point_of_interest, establishment","#374/4, Old Galle Road, Gorakana, Moratuwa., 374/4 Old Galle Rd, Panadura, Sri Lanka",OPERATIONAL,N/A,+94 382 297 252,37
Lakrasa Super Caterers,ChIJlfoNywlG4joRVleOLlMd4Og,6.729257199999999,79.9051116,4.0,2,"restaurant, food, point_of_interest, establishment","150 Old Galle Rd, Panadura 12500, Sri Lanka",OPERATIONAL,N/A,+94 382 247 170,377
KFC - Panadura,ChIJuQUoSA9G4joR3rEKHF8HoNU,6.724023700000001,79.9067359,3.8,2,"restaurant, food, point_of_interest, establishment","248b Galle Rd, Panadura, Sri Lanka",OPERATIONAL,https://www.kfc.lk/,+94 115 532 532,1661
Pizza Hut,ChIJfdJBmBBG4joRHMr0LgEl1IM,6.715876199999999,79.90744339999999,4.2,2,"restaurant, food, point_of_interest, establishment","Panadura, Sri Lanka",OPERATIONAL,https://www.pizzahut.lk/,+94 117 729 729,1571
Ramadia Ranmal Holiday Resort,ChIJi9YWb5hF4joRavD7xUKWrpI,6.763486299999999,79.8977172,4.1,2,"lodging, restaurant, food, point_of_interest, establishment","346 5 Old Galle Rd, Moratuwa 12500, Sri Lanka",OPERATIONAL,http://www.ranmalholidayresort.com/,+94 382 298 921,5641
Harry cafe & Restaurant,ChIJZTbsRaZF4joRp75sHEBeShU,6.7523554,79.8881883,5.0,2,"restaurant, food, point_of_interest, establishment","194/4 Galle Rd New Deviation, Panadura 10400, Sri Lanka",OPERATIONAL,N/A,+94 70 514 1351,1
HOTEL DE PILAWOOS,ChIJ5byD1mFF4joRiwcLADsDCPs,6.7550123,79.88751859999999,4.3,2,"restaurant, food, point_of_interest, establishment","QV4Q+222, Galle Rd New Deviation, Moratuwa 10400, Sri Lanka",OPERATIONAL,N/A,+94 77 386 2774,9
Niwani Chines Foods,ChIJgWhvEbpF4joRkkn8bnsdtZo,6.7572252,79.88661669999999,3.0,2,"restaurant, food, point_of_interest, establishment","Moratuwa 10400, Sri Lanka",OPERATIONAL,N/A,N/A,0
Buger hut,ChIJ5UtGlT9F4joR1hkrpZTb93A,6.756874400000001,79.8875517,3.0,2,"restaurant, food, point_of_interest, establishment","QV4Q+P2V, Moratuwa 10400, Sri Lanka",OPERATIONAL,N/A,N/A,0
කෑම Hut,ChIJZ_QM9ZFF4joRYLiDY3tE_iA,6.757742599999999,79.8873584,3.0,2,"restaurant, food, point_of_interest, establishment","No.08, Suriyagas Junction, Moratuwa 10400, Sri Lanka",OPERATIONAL,N/A,+94 115 963 070,0
Restaurant,ChIJEcsZDoxF4joR75GtT4oPCMU,6.7578001,79.8874424,3.0,2,"restaurant, food, point_of_interest, establishment","06 1st Ln, Moratuwa 22287, Sri Lanka",OPERATIONAL,N/A,N/A,0
Anjelo's Restaurant,ChIJwx9oVABF4joRuMNVMkj6kDQ,6.7470044,79.89052389999999,3.0,2,"restaurant, food, point_of_interest, establishment","1597/A Galle Rd New Deviation, Moratuwa, Sri Lanka",OPERATIONAL,N/A,+94 74 388 7439,0
DnoodS House,ChIJQzRnCQBF4joRaZKBBOHgBQ0,6.7574295,79.88845769999999,5.0,2,"restaurant, food, point_of_interest, establishment","2b M E Perera Mawatha, Moratuwa 10400, Sri Lanka",OPERATIONAL,N/A,N/A,1
HOTEL NETHSU,ChIJP4BYJMxF4joRCP1RwwQj7FA,6.7599068,79.8855964,5.0,2,"restaurant, food, point_of_interest, establishment","No.62/34 New Galle Road, Moratuwa 10400, Sri Lanka",OPERATIONAL,N/A,+94 77 331 9476,3
Hiran,ChIJk0wfVL9F4joR6tgJUvzlCiY,6.7513078,79.8915874,4.2,2,"restaurant, food, point_of_interest, establishment","9/2 Saddharmodaya Ln, Moratuwa 10400, Sri Lanka",OPERATIONAL,N/A,+94 114 870 488,6
S & M Chinese Kitchen,ChIJW95RFs1F4joRp9G28hxpxcI,6.7580041,79.88879,5.0,2,"restaurant, food, point_of_interest, establishment","178/5, Moratuwa 10400, Sri Lanka",OPERATIONAL,N/A,+94 76 965 0504,1
Danaras Foods,ChIJ8XyDKClF4joRsPbl_AbfIyU,6.7501107,79.89197120000001,3.0,2,"restaurant, food, point_of_interest, establishment","5/B, Moses Ln, Moratuwa 10400, Sri Lanka",OPERATIONAL,N/A,+94 75 356 3380,0
Perera pastry Shop,ChIJ-cKlTVlF4joRNpFVYMFlwSA,6.750103699999999,79.8921991,3.0,2,"restaurant, food, point_of_interest, establishment","344 Koralawella Rd, Moratuwa 10400, Sri Lanka",OPERATIONAL,N/A,+94 76 395 2325,0
